FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD
18/09/2020;13;BOLÍVAR;13001;CARTAGENA;1
22/09/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
2/10/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
2/10/2020;66;RISARALDA;66170;DOSQUEBRADAS;1
6/10/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
14/10/2020;5;ANTIOQUIA;5001;MEDELLIN;1
15/10/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
19/10/2020;5;ANTIOQUIA;5380;LA ESTRELLA;1
23/10/2020;68;SANTANDER;68547;PIEDECUESTA;1
26/10/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
26/10/2020;52;NARIÑO;52001;PASTO;1
28/10/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
31/10/2020;8;ATLÁNTICO;8372;JUAN DE ACOSTA;1
6/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/11/2020;76;VALLE DEL CAUCA;76001;CALI;1
12/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
12/11/2020;68;SANTANDER;68077;BARBOSA;1
14/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
16/11/2020;88;SAN ANDRÉS ISLAS;88564;PROVIDENCIA;1
17/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
18/11/2020;5;ANTIOQUIA;5001;MEDELLIN;2
19/11/2020;5;ANTIOQUIA;5631;SABANETA;1
19/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/11/2020;52;NARIÑO;52001;PASTO;1
26/11/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
27/11/2020;70;SUCRE;70771;SUCRE;1
1/12/2020;15;BOYACÁ;15469;MONIQUIRA;1
3/12/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
4/12/2020;76;VALLE DEL CAUCA;76001;CALI;1
